,R53_S91,R46_S46,R47_S39,R56_S63,R59_S97,R48_S89,R50_S48,R43_S31,R49_S55,R58_S56,R42_S101,R52_S52,R44_S47,R41_S87,R57_S80,R45_S62,R51_S35,R60_S73,R55_S33,R54_S88
MEG_420|Drugs|betalactams|Class_C_betalactamases|ACT,0,0,0,0,6,4,2,0,0,2,0,0,0,0,0,0,0,0,2,2
MEG_4221|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSS,0,0,0,0,0,2,0,2,0,0,4,4,0,4,4,2,2,0,2,2
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,2,0,1,0,0,0,0,2,0,2,0,0,2,2,1,0,1,10,0,2
MEG_1752|Drugs|betalactams|Class_C_betalactamases|CMH,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEG_4971|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEG_7859|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC,38,0,0,0,1,4,0,0,0,9,4,0,0,0,0,2,0,0,2,2
MEG_4094|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation,0,0,0,0,4,6,0,8,8,0,10,0,0,4,8,0,0,12,2,4
MEG_1936|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MEG_7668|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VEXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2
MEG_1807|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_589|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MEG_1906|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5808|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|POR|RequiresSNPConfirmation,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,2,2,2,0
MEG_6035|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_3179|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,1,0,0,4,4,0,4,6,1,13,1,3,11,19,0,0,3,10,7
MEG_3536|Drugs|betalactams|Class_A_betalactamases|LAP,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
MEG_3632|Drugs|betalactams|Class_B_betalactamases|LRA,2,0,0,0,4,6,0,0,2,0,0,4,0,0,4,0,0,2,0,8
MEG_2079|Metals|Copper_resistance|Copper_resistance_protein|COPV,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2
MEG_6015|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRE,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0
MEG_1129|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_845|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
MEG_5545|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,19,0,0,0,1,1,0,0,0,26,0,2,0,2,4,1,0,2,1,0
MEG_1805|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEG_3229|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,5,1,0,0,1,0,9,0,2,8,5,0,0,3,0,2
MEG_700|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2
MEG_4258|Drugs|betalactams|Class_A_betalactamases|OKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MEG_3341|Drugs|betalactams|Class_B_betalactamases|IMP,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3421|Drugs|betalactams|Class_B_betalactamases|IND,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_7062|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
MEG_954|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1
MEG_1697|Drugs|betalactams|Class_A_betalactamases|CFX,0,0,0,0,35,5,0,0,0,0,5,0,0,0,15,3,0,4,0,18
MEG_7064|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_858|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5366|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,2,2,0,0,8,0,0,2,0,0,1,2,0,0,2,0,0,2,0,6
MEG_3409|Drugs|betalactams|Class_B_betalactamases|IND,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_3777|Drugs|betalactams|Penicillin_binding_protein|MECA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4366|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0
MEG_3740|Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation,150,4,12,8,83,56,5,24,19,21,96,18,40,87,123,21,5,39,46,100
MEG_304|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2
MEG_1618|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2427|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0
MEG_7054|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETB60,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,2,0,10
MEG_5919|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4814|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,2,2,2,0,0,0,4,0,0,0,0,0,2,2,2
MEG_848|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1
MEG_1136|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MEG_4348|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0,0,0,0,0,2,0,0,1,0,4,0,0,0,2,0,0,0,0,0
MEG_2034|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|COPAM,0,0,2,0,10,0,0,4,2,2,2,2,0,10,2,0,0,2,2,2
MEG_4244|Drugs|betalactams|Class_A_betalactamases|OKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MEG_2013|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CNRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_5024|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5901|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_2519|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
MEG_7497|Drugs|Glycopeptides|VanC-type_regulator|VANSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_5110|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_6630|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,10,0,0,0,4,0,0,0,4,0,7,0,0,0,0,0,2,0,13,1
MEG_1230|Metals|Iron_resistance|Iron_resistance_protein|BFRA,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0
MEG_5117|Drugs|betalactams|Class_D_betalactamases|OXA,2,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0
MEG_505|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|ACTS,2,2,2,0,8,0,0,1,0,2,9,0,2,4,2,4,0,2,4,2
MEG_1226|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPF,0,0,0,2,6,0,0,2,2,2,4,2,2,2,2,0,0,0,0,4
MEG_5361|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,2,2,0,0,0,1,0,0,38,1,2,3,2,0,0,4,8,4
MEG_2694|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|EATAV|RequiresSNPConfirmation,0,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,2,0,0,4
