"","R73_S90","R79_S103","R80_S104","R64_S36","R78_S102","R77_S58","R68_S45","R67_S28","R65_S60","R66_S85","R62_S66","R74_S86","R61_S96","R72_S74","R75_S32","R69_S83","R63_S54","R70_S29","R71_S67","R76_S79"
"MEG_2567|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_2264|Drugs|betalactams|Class_A_betalactamases|CTX",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_7508|Drugs|Glycopeptides|VanD-type_regulator|VANSD",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"MEG_5389|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation",49,0,0,4,2,5,4,11,6,16,0,15,7,31,1,27,4,4,10,30
"MEG_3916|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXJ",9,0,0,0,80,1,0,2,0,4,0,10,0,2,2,14,0,2,6,6
"MEG_1665|Drugs|betalactams|Class_B_betalactamases|CFIA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"MEG_2086|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA",1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
"MEG_4000|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR",7,0,0,0,67,0,0,3,3,2,0,0,0,2,0,0,0,0,0,0
"MEG_6513|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITA",0,0,0,0,99,1,0,0,0,3,0,0,0,3,0,0,0,0,0,9
"MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD",8,0,0,2,0,7,2,1,1,4,1,15,9,9,0,17,1,5,3,28
"MEG_7503|Drugs|Glycopeptides|VanC-type_regulator|VANSC",0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
"MEG_3572|Drugs|betalactams|Class_A_betalactamases|LEN",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"MEG_127|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4
"MEG_890|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME",0,0,0,0,0,5,0,0,0,0,0,6,1,1,1,0,0,2,0,29
"MEG_2050|Metals|Copper_resistance|Copper_resistance_protein|COPC",0,0,0,0,0,0,0,0,0,2,0,1,0,11,0,2,0,0,0,7
"MEG_92|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"MEG_5747|Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|PDRM",2,0,0,0,0,2,0,0,0,2,0,2,0,4,0,18,0,0,0,4
"MEG_4460|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"MEG_6139|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation",146,0,0,25,190,122,25,130,15,167,39,127,203,284,40,194,69,123,76,907
"MEG_7479|Drugs|Glycopeptides|VanD-type_regulator|VANRD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MEG_126|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"MEG_1834|Drugs|betalactams|Class_C_betalactamases|CMY",4,0,0,0,2,4,2,0,0,2,0,2,8,2,0,6,0,2,4,4
"MEG_5908|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_6572|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SSME",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR",3,0,0,0,42,0,0,3,0,4,0,6,0,6,0,2,0,0,2,4
"MEG_4540|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"MEG_932|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME",1,0,0,1,0,6,0,0,0,0,0,3,10,8,4,0,0,1,0,32
"MEG_112|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
"MEG_7449|Drugs|Glycopeptides|VanA-type_regulator|VANRA",4,0,0,0,0,0,0,2,2,0,0,0,2,4,2,0,0,0,2,2
"MEG_4866|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2
"MEG_1394|Drugs|betalactams|Class_A_betalactamases|BLAZ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1303|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR",4,0,0,0,0,2,2,0,2,2,0,2,0,6,0,4,0,0,2,4
"MEG_4096|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation",4,0,0,0,0,0,2,0,0,0,0,2,6,2,0,6,2,2,0,8
"MEG_6142|Drugs|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_mutant|RPSA|RequiresSNPConfirmation",24,0,2,5,2,78,20,8,0,2,7,18,48,45,26,18,0,21,12,287
"MEG_6620|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
"MEG_5860|Drugs|Fluoroquinolones|Quinolone_active_efflux|QEPA",2,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,4
"MEG_7160|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO",54,0,0,0,0,4,0,2,2,4,0,7,0,4,0,1,0,0,0,11
"MEG_1598|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA",5,0,0,2,0,0,0,0,0,0,2,1,0,8,1,5,0,5,2,20
"MEG_1677|Drugs|betalactams|Class_B_betalactamases|CFIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"MEG_4762|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0
"MEG_4275|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB",38,0,0,0,12,4,2,8,2,2,4,4,9,22,4,16,2,0,5,17
"MEG_2624|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,4
"MEG_712|Metals|Arsenic_resistance|Arsenite_oxidase|AIOA",4,0,0,2,0,2,2,0,0,0,0,0,0,4,0,4,0,0,0,8
"MEG_5047|Drugs|betalactams|Class_D_betalactamases|OXA",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MEG_6556|Drugs|betalactams|Class_B_betalactamases|SPR",8,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,0
"MEG_3522|Drugs|betalactams|Class_B_betalactamases|L1",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4
"MEG_6213|Drugs|betalactams|Class_A_betalactamases|SHV",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MEG_120|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"MEG_4294|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH",6,0,0,0,86,5,0,2,0,2,0,16,7,16,2,2,8,4,6,12
"MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC",25,0,1,0,92,2,0,4,2,0,0,0,2,3,0,4,0,2,0,0
"MEG_2787|Drugs|MLS|23S_rRNA_methyltransferases|ERMA",4,0,0,0,0,0,0,0,0,6,2,0,2,8,0,0,0,0,2,2
"MEG_3561|Drugs|betalactams|Class_A_betalactamases|LEN",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,18
"MEG_4601|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2
"MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE",15,0,0,0,87,0,0,0,2,0,0,3,2,0,1,6,0,2,2,4
"MEG_7214|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW",19,0,0,1,0,1,0,8,1,4,2,32,0,5,0,0,4,0,4,18
"MEG_4533|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"MEG_2407|Drugs|betalactams|Class_A_betalactamases|CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_1526|Drugs|betalactams|Class_A_betalactamases|CARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
"MEG_6519|Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMDA",15,0,0,4,31,4,4,6,0,13,2,6,16,18,8,34,4,1,10,33
"MEG_1791|Drugs|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_7131|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",2,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2,9
"MEG_1111|Drugs|betalactams|Class_A_betalactamases|ARL",0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,2,2
"MEG_3310|Drugs|betalactams|Class_A_betalactamases|IMI",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"MEG_7524|Drugs|Glycopeptides|VanC-type_resistance_protein|VANTC",0,0,0,0,0,0,0,2,0,2,0,2,4,4,0,6,2,0,2,4
"MEG_4394|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MEG_1741|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC",4,0,0,0,0,2,0,2,0,4,0,0,2,0,0,2,0,2,0,0
"MEG_6579|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MEG_3054|Drugs|betalactams|Class_A_betalactamases|FRI",4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
"MEG_1618|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
"MEG_7477|Drugs|Glycopeptides|VanD-type_regulator|VANRD",13,0,0,0,0,0,0,0,2,8,0,4,0,4,0,5,0,0,0,4
"MEG_7625|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATD",4,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,8
"MEG_4021|Drugs|betalactams|Class_C_betalactamases|MOX",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"MEG_4827|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0
"MEG_7414|Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB",2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"MEG_6531|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMFY",2,0,0,0,23,2,0,0,0,14,0,4,2,12,2,12,4,2,6,25
"MEG_1094|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6",0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,4,0,0,0,8
"MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MEG_4718|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_3726|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"MEG_643|Drugs|betalactams|Class_C_betalactamases|ADC",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"MEG_7031|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA",12,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2
"MEG_7231|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW",117,0,0,2,0,4,1,40,6,7,0,37,0,17,1,12,2,0,11,40
"MEG_5791|Drugs|betalactams|Class_A_betalactamases|PLA",0,0,0,0,0,0,2,0,0,2,0,2,0,2,0,0,2,0,0,0
"MEG_3276|Metals|Copper_resistance|Copper_resistance_protein|HPCOPP",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"MEG_1853|Drugs|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_627|Drugs|betalactams|Class_C_betalactamases|ADC",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4
"MEG_3775|Drugs|betalactams|Penicillin_binding_protein|MECA",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"MEG_381|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|ABUO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2
"MEG_1780|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMRA",2,0,0,0,0,2,0,0,0,2,2,4,0,6,0,2,0,0,0,2
"MEG_6638|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII",0,0,0,0,0,8,0,0,0,2,0,7,5,3,1,0,0,6,0,22
"MEG_3696|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_3517|Drugs|betalactams|Class_B_betalactamases|L1",0,0,0,0,2,0,0,4,0,0,0,0,2,0,2,0,0,2,0,0
"MEG_5758|Drugs|betalactams|Class_A_betalactamases|PER",0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"MEG_5978|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_3483|Drugs|betalactams|Class_A_betalactamases|KPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_5186|Drugs|betalactams|Class_D_betalactamases|OXA",6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"MEG_4380|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|OTRB",2,0,0,0,4,2,0,0,0,4,0,0,0,4,0,6,0,0,0,2
"MEG_7487|Drugs|Glycopeptides|VanA-type_regulator|VANSA",0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,4,0,0,2
"MEG_3860|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD",0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,6
"MEG_4094|Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation",2,0,0,2,21,2,0,1,2,6,0,2,11,5,0,4,2,6,2,20
"MEG_7310|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation",108,0,0,37,1,49,15,28,12,64,4,98,122,124,14,73,41,71,30,385
"MEG_468|Drugs|betalactams|Class_C_betalactamases|ACT",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"MEG_6617|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII",0,0,0,3,2,6,0,0,0,1,0,4,11,0,2,0,0,5,5,39
"MEG_6119|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation",25,0,0,7,4,15,6,20,5,15,6,21,23,37,2,31,16,15,12,85
"MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP",12,0,0,0,0,2,3,2,0,4,3,3,4,12,0,8,2,2,2,16
"MEG_5411|Metals|Lead_resistance|Lead_P-type_ATPase_transporter|PBRB",4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,8
