,R17_S93,R8_S68,R2_S27,R6_S77,R3_S71,R12_S41,R15_S82,R4_S49,R13_S100,R20_S81,R1_S70,R14_S75,R19_S30,R11_S98,R5_S95,R10_S65,R18_S94,R16_S92,R9_S53,R7_S72
MEG_264|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,2,4,4,4,2
MEG_1584|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0
MEG_5342|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,1,12,3,4,1,2,12,4,3,22,5,25,0,68,3,0,6,10,1,10
MEG_5374|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,4,2,1,3,2,0,10,8,2,64,3,10,0,14,4,2,4,8,0,3
MEG_688|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0
MEG_3600|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,0,0,0,0,0,1,1,4,0,0,0,7,0,0,0,2,0,0
MEG_3554|Drugs|betalactams|Class_A_betalactamases|LEN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_2252|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_7625|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATD,0,0,2,2,0,0,4,0,0,2,0,0,0,2,2,6,2,0,0,0
MEG_7507|Drugs|Glycopeptides|VanD-type_regulator|VANSD,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,4,0,0
MEG_7533|Drugs|Glycopeptides|VanL-type_resistance_protein|VANTML,6,0,0,4,0,0,6,2,2,4,0,2,0,2,0,0,2,2,0,0
MEG_2698|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRB,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0
MEG_1986|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3057|Drugs|betalactams|Class_A_betalactamases|FRI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_956|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
MEG_3972|Drugs|betalactams|Class_C_betalactamases|MIR,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_274|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_7158|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,14,0,4,2,2,0,33,0,1,0,2,0,0,0,22,5,0,1,3,0
MEG_840|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
MEG_3053|Drugs|betalactams|Class_A_betalactamases|FRI,0,0,0,4,0,2,2,0,0,6,0,0,0,8,2,0,0,0,0,0
MEG_691|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,371,147,189,667,150,13,967,117,886,1126,282,154,114,427,766,360,602,1223,181,131
MEG_7116|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0
MEG_2011|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CNRH,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
MEG_1582|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_3189|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,2,2,5,10,0,2,6,10,6,30,4,4,0,22,10,0,15,21,0,3
MEG_6007|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MEG_1088|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,2,0,2,0,2,0,8,0,4,2,0,6,0,0,2,0,4,2,2,0
MEG_3650|Drugs|betalactams|Class_A_betalactamases|LUT,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,65,25,12,52,16,2,78,3,123,13,108,1,33,4,124,18,140,266,50,0
MEG_7248|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ,0,0,18,0,0,0,8,7,4,42,4,0,0,6,2,0,0,5,0,1
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,0,0,0,0,0,0,2,0,4,2,0,2,0,2,2,0,0,0,0,0
MEG_3896|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,1,0
MEG_5309|Drugs|betalactams|Class_A_betalactamases|OXY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_4817|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0
MEG_517|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,2,2,2,0,2,0,0,2,0,0,2,0,0
MEG_4206|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0
MEG_6615|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,7,0,1,0,4,36,0,207,0,0,0,28,0,0,0,3,0,2
MEG_2892|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPC,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
MEG_6992|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,37,0,7,1,2,1,66,0,6,2,2,0,3,0,28,27,6,13,1,0
MEG_5385|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,6,2,0,11,4,0,3,1,2,13,2,0,0,6,6,4,2,6,0,0
MEG_759|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,0,0,0,6,0,0,2,0,4,2,2,0,0,0,2,0,4,4,0,0
MEG_2932|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|FMRO,4,2,0,0,0,0,2,2,2,4,0,8,2,4,8,0,6,2,0,0
MEG_1172|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MEG_3894|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_6125|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,8,4,8,27,10,0,15,9,40,54,5,5,1,19,22,15,25,43,7,3
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,4,4,0,2,0,2,2,2,6,2,0,0,0,0,0,2,0,4,0,0
MEG_2900|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0
MEG_5812|Drugs|betalactams|Class_B_betalactamases|PST,0,0,0,4,0,0,0,0,2,6,0,2,0,0,4,0,0,4,0,2
MEG_5855|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACPB,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_4571|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_388|Drugs|betalactams|Class_C_betalactamases|ACC,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7434|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,0,0,0,0,0,0,0,0,2,2,0,0,2,0,2,0,0,0,4,0
MEG_6470|Drugs|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MEG_2005|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRA,2,0,0,2,2,0,2,0,2,4,0,3,0,0,0,0,0,3,0,0
MEG_781|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,2,0
MEG_3556|Drugs|betalactams|Class_A_betalactamases|LEN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_2481|Drugs|betalactams|Class_A_betalactamases|DES,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
MEG_6157|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,1,0
MEG_6174|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEX,6,2,3,0,4,0,2,0,4,6,2,9,0,2,4,2,0,10,0,0
MEG_3680|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_7518|Drugs|Glycopeptides|VanM-type_regulator|VANSM,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
MEG_5759|Drugs|betalactams|Class_A_betalactamases|PER,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
MEG_3131|Drugs|betalactams|Class_A_betalactamases|GES,0,0,5,3,0,0,0,18,2,86,0,27,0,6,2,0,0,0,0,9
MEG_3311|Drugs|betalactams|Class_A_betalactamases|IMI,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
MEG_648|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_634|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_2482|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
MEG_6867|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEG_766|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,1,0,0,2,2,4,2,14,0,0,0,1,0,0,0,0,0,0
MEG_4130|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|NDH|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,4,10,2,6,0,2,2,2,0,6,2,0
MEG_1571|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,2,0,0,6,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0
MEG_3329|Drugs|betalactams|Class_B_betalactamases|IMP,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_4220|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSR,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,6,0,0,0
MEG_1718|Drugs|betalactams|Class_A_betalactamases|CIA,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,2,0,0,0
MEG_7410|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_248|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
MEG_260|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,2
MEG_4539|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
MEG_4628|Drugs|betalactams|Class_D_betalactamases|OXA,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_6587|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,4,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0
MEG_1581|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0
MEG_6060|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTA,0,0,0,0,0,0,0,0,2,14,0,0,0,4,4,0,0,0,0,0
MEG_7254|Drugs|betalactams|Class_A_betalactamases|TLA,0,0,0,8,0,0,2,2,2,0,0,0,0,4,4,0,2,4,0,0
MEG_738|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEG_2744|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5751|Drugs|betalactams|Class_A_betalactamases|PENA,2,2,0,0,0,0,2,0,2,10,4,12,0,2,2,4,0,2,0,0
MEG_5412|Metals|Lead_resistance|Lead_P-type_ATPase_transporter|PBRD,0,2,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0
MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5367|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,5,5,5,2,0,2,0,8,60,2,0,0,21,0,0,2,7,0,0
MEG_2058|Metals|Copper_resistance|Copper_resistance_protein|COPG,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0
MEG_4518|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_5594|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_172|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_7827|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YFED,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
MEG_4956|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_150|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
MEG_913|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4522|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_1549|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2
MEG_5769|Drugs|betalactams|Class_A_betalactamases|PER,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,8,0,0,0
MEG_2775|Drugs|MLS|23S_rRNA_methyltransferases|ERM32,0,0,0,4,0,0,6,0,6,10,0,2,0,0,1,0,0,4,0,0
MEG_1656|Drugs|betalactams|Class_C_betalactamases|CFE,0,0,0,34,0,0,0,0,12,2,2,0,0,0,6,0,0,0,0,0
MEG_4021|Drugs|betalactams|Class_C_betalactamases|MOX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
MEG_4973|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
MEG_2029|Metals|Copper_resistance|Copper_resistance_protein|COPA,0,4,2,3,0,0,8,2,10,17,6,14,0,2,6,0,0,6,0,2
MEG_734|Drugs|betalactams|Class_B_betalactamases|ANA,0,0,0,2,0,0,0,0,0,4,0,4,0,0,6,0,2,4,0,0
MEG_2828|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,4,0,0,0,0,0,3,1,0,2,0,0,0,0,4,0,0,0,0,0
MEG_7426|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
MEG_542|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MEG_2767|Drugs|MLS|23S_rRNA_methyltransferases|ERM,4,0,0,0,2,0,0,1,2,0,0,2,0,0,8,8,0,6,0,2
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0
MEG_3203|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,3,0,6,4,0,0,4,6,4,20,2,0,0,40,6,0,9,16,0,2
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,0,2,0,7,0,0,0,0,0,2,2,0,2,4,0,1,2,0,0,0
MEG_4202|Drugs|betalactams|Class_A_betalactamases|NMCA,2,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0
MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,0,1,2,0,2,0,4,0,0,2,0,0,0,0,4,0,0,2,1,0
MEG_3207|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,2,0,1,2,0,0,0,3,5,0,0,0,3,0,0,0,6,0,0
MEG_6117|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,4,5,0,13,4,0,8,0,13,46,2,1,2,11,4,0,4,27,10,1
MEG_7385|Drugs|Glycopeptides|VanD-type_resistance_protein|VAND,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_4607|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1139|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRA,0,0,2,6,0,0,0,2,2,2,0,4,0,2,0,0,2,0,0,0
MEG_3804|Drugs|betalactams|Penicillin_binding_protein_regulator|MECI,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,4,4,0,0
MEG_2646|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
MEG_3294|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|IDER,0,3,0,0,1,0,0,2,4,21,0,8,0,2,4,0,0,0,0,2
MEG_6302|Drugs|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_3304|Drugs|betalactams|Class_A_betalactamases|IMI,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_4318|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0
MEG_4508|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MEG_7251|Drugs|betalactams|Class_A_betalactamases|TLA,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
MEG_519|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0
MEG_4768|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MEG_1520|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_7800|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEY,4,0,0,0,0,0,4,0,2,6,0,0,0,0,2,0,0,4,0,0
MEG_7433|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,2,0,0,2,2,0,0,2,0,12,0,2,0,0,0,0,0,2,2,0
MEG_2840|Drugs|MLS|23S_rRNA_methyltransferases|ERMO,0,4,0,0,4,0,0,0,0,2,2,4,0,2,0,2,2,8,0,0
MEG_7326|Drugs|betalactams|Class_B_betalactamases|TUS,0,0,0,0,0,0,2,0,4,2,4,0,0,2,0,0,0,2,0,0
MEG_7482|Drugs|Glycopeptides|VanL-type_regulator|VANRI,0,0,0,2,2,0,4,0,4,3,2,2,0,2,5,0,0,6,0,0
MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ,4,4,0,2,0,0,0,2,2,8,4,0,0,2,6,0,0,0,0,0
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,79,0,0,12,2,0,66,2,8,13,2,2,0,2,64,2,12,16,0,0
MEG_5327|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,4,0,0,4,0,0,4,0,6,2,2,2,0,2,2,0,4,4,0,2
MEG_6067|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTD,0,0,0,2,0,0,0,0,0,2,0,8,0,0,2,0,0,0,0,0
MEG_1715|Metals|Chromium_resistance|Chromium_resistance_regulator|CHRF,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0
MEG_2471|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCP,2,4,0,4,4,0,7,0,4,9,0,15,0,9,2,0,2,9,0,4
MEG_7106|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
MEG_7604|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYD,0,2,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,0,0
MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,5,3,2,5,0,0,4,4,0,2,0,2,0,2,0,3,2,2,0,1
